product_id,product_name,merchant,item_type,category,price_min,price_max
30,Milna Nature Puffs Organic Apple Mix Berries 15g,Modern Retail,Wants,Baby Care,30000,38000
31,Milna Nature Puffs Organic Banana 15g,Modern Retail,Wants,Baby Care,30000,38000
32,Milna Rice Crackers Banana Berries 20g,Modern Retail,Wants,Baby Care,15000,20000
33,Milna Rice Crackers Sweet Potato Carrot 20g,Modern Retail,Wants,Baby Care,15000,20000
34,Milna Rice Crackers Apple Orange 20g,Modern Retail,Wants,Baby Care,15000,20000
35,Milna Biskuit Bayi Original 130g,Modern Retail,Needs,Baby Care,16000,21000
36,Milna Biskuit Bayi Beras Merah 130g,Modern Retail,Needs,Baby Care,16000,21000
37,Milna Biskuit Bayi Kacang Hijau 130g,Modern Retail,Needs,Baby Care,16000,21000
38,Milna Biskuit Bayi Pisang 130g,Modern Retail,Needs,Baby Care,16000,21000
39,Milna Biskuit Bayi Jeruk 130g,Modern Retail,Needs,Baby Care,16000,21000
40,Milna Kinder Biscuit Cheese 110g,Modern Retail,Wants,Baby Care,18000,23000
41,Milna Kinder Biscuit Chocolate 110g,Modern Retail,Wants,Baby Care,18000,23000
42,Milna Bubur Bayi WGAIN Ayam Kacang Polong 120g,Modern Retail,Needs,Baby Care,30000,38000
43,Sun Biskuit Marie Susu 150g,Modern Retail,Wants,Baby Care,10000,14000
44,Sun Biskuit Marie Susu & Madu 150g,Modern Retail,Wants,Baby Care,10000,14000
45,Sun Bubur Sereal Susu Beras Merah 120g,Modern Retail,Needs,Baby Care,8000,12000
46,Sun Bubur Sereal Susu Pisang 120g,Modern Retail,Needs,Baby Care,8000,12000
47,Sun Bubur Sereal Susu Kacang Hijau 120g,Modern Retail,Needs,Baby Care,8000,12000
48,Sun Bubur Sereal Susu Ayam Kampung 120g,Modern Retail,Needs,Baby Care,8000,12000
49,Cerelac Nutripuffs Banana & Strawberry 25g,Modern Retail,Wants,Baby Care,18000,24000
50,Cerelac Nutripuffs Spinach & Onion 25g,Modern Retail,Wants,Baby Care,18000,24000
51,Cerelac Bubur Sereal Beras Merah 120g,Modern Retail,Needs,Baby Care,15000,19000
52,Cerelac Bubur Sereal Wortel Bayam Labu 120g,Modern Retail,Needs,Baby Care,15000,19000
53,Yummy Bites Rice Crackers Original 50g,Modern Retail,Wants,Baby Care,35000,45000
54,Yummy Bites Rice Crackers Carrot 50g,Modern Retail,Wants,Baby Care,35000,45000
55,Yummy Bites Rice Crackers Apple 50g,Modern Retail,Wants,Baby Care,35000,45000
56,Yummy Bites Rice Crackers Banana 50g,Modern Retail,Wants,Baby Care,35000,45000
57,Yummy Bites Rice Crackers Strawberry 50g,Modern Retail,Wants,Baby Care,35000,45000
58,Yummy Bites Rice Crackers Vegetable 50g,Modern Retail,Wants,Baby Care,35000,45000
59,Yummy Bites Beberoll Cheese 40g,Modern Retail,Wants,Baby Care,38000,48000
60,Yummy Bites Beberoll Strawberry 40g,Modern Retail,Wants,Baby Care,38000,48000
61,Yummy Bites Beberoll Chocolate 40g,Modern Retail,Wants,Baby Care,38000,48000
62,Yummy Bites Yogurt Melts Mixed Berries 20g,Modern Retail,Wants,Baby Care,35000,45000
63,Yummy Bites Yogurt Melts Gold Kiwi 20g,Modern Retail,Wants,Baby Care,35000,45000
64,Gerber Teethers Wafers Strawberry Apple 48g,Premium Store,Wants,Baby Care,65000,80000
65,Gerber Puffs Banana 42g,Premium Store,Wants,Baby Care,45000,55000
66,Gerber Puffs Sweet Potato 42g,Premium Store,Wants,Baby Care,45000,55000
67,Heinz Biscotti Chocolate 60g,Premium Store,Wants,Baby Care,25000,35000
68,Farley's Biskuit Bayi Original 120g,Modern Retail,Needs,Baby Care,18000,24000
69,Farley's Biskuit Bayi Jeruk 120g,Modern Retail,Needs,Baby Care,18000,24000
70,Wardah Lightening Face Toner 125ml,Wardah Official,Needs,Beauty Care,24000,28000
71,Wardah Lightening Whip Facial Foam 100ml,Indomaret,Needs,Beauty Care,28000,35000
72,Wardah UV Shield Essential Sunscreen Gel SPF 30 40ml,Alfamart,Needs,Beauty Care,32000,38000
73,Wardah Exclusive Matte Lip Cream 09 Mauve On,Watson,Wants,Beauty Care,58000,65000
74,Wardah Colorfit Velvet Matte Lip Mousse 01 Brown Dreamer,Shopee - Wardah,Wants,Beauty Care,69000,75000
75,Wardah Crystal Secret Dark Spot & Brightening Serum 20ml,Wardah Official,Wants,Beauty Care,85000,95000
76,Wardah Acnederm Pore Blackhead Balm 20g,Guardian,Wants,Beauty Care,38000,45000
77,Wardah Renew You Anti Aging Night Cream 30g,Wardah Official,Wants,Beauty Care,105000,115000
78,Wardah Nature Daily Aloe Hydramild Multifunction Gel 100ml,Indomaret,Needs,Beauty Care,35000,42000
79,Wardah C-Defense Serum 17ml,Tokopedia - Wardah,Wants,Beauty Care,78000,85000
80,Emina Bright Stuff Face Wash 50ml,Indomaret,Needs,Beauty Care,16000,20000
81,Emina Sun Battle SPF 30 PA+++ 60ml,Alfamart,Needs,Beauty Care,28000,33000
82,Emina Ms. Pimple Acne Solution Moisturizing Gel 20ml,Guardian,Needs,Beauty Care,26000,30000
83,Emina Glossy Stain 01 Autumn Bell,Shopee - Emina,Wants,Beauty Care,45000,50000
84,Emina Cheeklit Cream Blush Pink,Watson,Wants,Beauty Care,38000,44000
85,Emina Bright Stuff Tone Up Cream 20ml,Indomaret,Wants,Beauty Care,24000,28000
86,Emina Apricot Jam Face Scrub 60ml,Emina Official,Wants,Beauty Care,28000,34000
87,Emina Creamatte Lip Cream 15 Choco Puff,Tokopedia - Emina,Wants,Beauty Care,42000,49000
88,Emina Sebum Fighter Loose Powder 8g,Guardian,Wants,Beauty Care,55000,62000
89,Emina Skin Buddy Micellar Water 100ml,Alfamart,Needs,Beauty Care,27000,32000
90,Make Over Powerstay Demi-Matte Cover Cushion N30,Make Over Official,Wants,Beauty Care,195000,215000
91,Make Over Intense Matte Lip Cream 004 Vanity,Shopee - Make Over,Wants,Beauty Care,105000,119000
92,Make Over Silky Smooth Translucent Powder,Watson,Wants,Beauty Care,120000,135000
93,Make Over Hyperblack Superstay Liner,Guardian,Wants,Beauty Care,115000,129000
94,Make Over Hydrastay Lite Glow Cushion W22,Make Over Official,Wants,Beauty Care,205000,225000
95,Make Over Powerstay Transferproof Matte Lip Cream B03,Tokopedia - Make Over,Wants,Beauty Care,125000,135000
96,Make Over Multifix Matte Blusher 03 Rose Hour,Make Over Official,Wants,Beauty Care,118000,128000
97,Somethinc 5% Niacinamide + Moisture Sabi Beet Serum 20ml,Somethinc Official,Wants,Beauty Care,89000,99000
98,Somethinc Low pH Gentle Jelly Cleanser 100ml,Somethinc Official,Needs,Beauty Care,99000,109000
99,Somethinc Ceramic Skin Saviour Moisturizer Gel 25ml,Shopee - Somethinc,Wants,Beauty Care,169000,189000
100,Somethinc Holyshield! UV Watery Sunscreen Gel SPF 50 15g,Tokopedia - Somethinc,Needs,Beauty Care,49000,59000
101,Somethinc AHA BHA PHA Peeling Solution 20ml,Somethinc Official,Wants,Beauty Care,115000,125000
102,Somethinc Game Changer Tripeptide Eye Concentrate 20ml,Somethinc Official,Wants,Beauty Care,145000,165000
103,Somethinc Hooman Breathable UV Cushion Cover SPF 35,Somethinc Official,Wants,Beauty Care,185000,209000
104,Somethinc Copy Paste Breathable Mesh Cushion,Shopee - Somethinc,Wants,Beauty Care,185000,209000
105,Somethinc Bee Power Propolis & Manuka Honey Sleeping Mask,Somethinc Official,Wants,Beauty Care,129000,149000
106,Somethinc Level 1% Retinol 20ml,Somethinc Official,Wants,Beauty Care,155000,175000
107,Avoskin Miraculous Refining Toner 100ml,Avoskin Official,Wants,Beauty Care,169000,189000
108,Avoskin Perfect Hydrating Treatment Essence 30ml,Shopee - Avoskin,Wants,Beauty Care,129000,149000
109,Avoskin Your Skin Bae Salicylic Acid 2% + Zinc Serum,Avoskin Official,Wants,Beauty Care,139000,159000
110,Avoskin Your Skin Bae Niacinamide 12% + Centella Asiatica,Tokopedia - Avoskin,Wants,Beauty Care,139000,159000
111,Avoskin The Great Shield Sunscreen SPF 50 30ml,Avoskin Official,Needs,Beauty Care,139000,159000
112,Avoskin Natural Sublime Facial Cleanser 100ml,Avoskin Official,Needs,Beauty Care,109000,129000
113,Avoskin Miraculous Retinol Toner 100ml,Avoskin Official,Wants,Beauty Care,179000,199000
114,Skintific 5X Ceramide Barrier Repair Moisture Gel 30g,Skintific Official,Wants,Beauty Care,139000,169000
115,Skintific 5X Ceramide Low pH Cleanser 80ml,Shopee - Skintific,Needs,Beauty Care,89000,109000
116,Skintific 2% Salicylic Acid Anti Acne Serum 20ml,Tokopedia - Skintific,Wants,Beauty Care,109000,129000
117,Skintific 10% Niacinamide Brightening Serum 20ml,Skintific Official,Wants,Beauty Care,109000,129000
118,Skintific 360 Crystal Massager Lifting Eye Cream,Skintific Official,Wants,Beauty Care,159000,189000
119,Skintific Mugwort Anti Pores & Acne Clay Mask 55g,Skintific Official,Wants,Beauty Care,89000,109000
120,Skintific Sunscreen Mist All Day Light SPF 50 50ml,Skintific Official,Needs,Beauty Care,79000,99000
121,Skintific Truffle Biome Skin Cream Gel Moisturizer,Skintific Official,Wants,Beauty Care,149000,179000
122,Skintific SymWhite 377 Dark Spot Eraser Serum,Skintific Official,Wants,Beauty Care,119000,139000
123,Skintific 4D Hyaluronic Acid Barrier Essence Toner,Skintific Official,Needs,Beauty Care,99000,119000
124,Azarine Hydrasoothe Sunscreen Gel SPF 45 50ml,Shopee - Azarine,Needs,Beauty Care,55000,65000
125,Azarine Ceraspray Sunscreen SPF 50,Tokopedia - Azarine,Needs,Beauty Care,60000,70000
126,Azarine Acne Spot Serum 20ml,Guardian,Wants,Beauty Care,28000,35000
127,Azarine Cicamide Barrier Sunscreen Moisturiser 40ml,Watson,Needs,Beauty Care,35000,45000
128,Azarine Toner Mild Purifying 90ml,Azarine Official,Needs,Beauty Care,30000,40000
129,Azarine Serum Retinol Smooth Glowing 20ml,Shopee - Azarine,Wants,Beauty Care,55000,65000
130,Scarlett Whitening Brightly Ever After Serum 15ml,Shopee - Scarlett,Wants,Beauty Care,60000,75000
131,Scarlett Whitening Acne Serum 15ml,Tokopedia - Scarlett,Wants,Beauty Care,60000,75000
132,Scarlett Whitening Body Lotion Jolly 300ml,Indomaret,Needs,Beauty Care,65000,75000
133,Scarlett Whitening Body Lotion Charming 300ml,Alfamart,Needs,Beauty Care,65000,75000
134,Scarlett Whitening Body Scrub Romansa 250ml,Guardian,Wants,Beauty Care,60000,70000
135,Scarlett Whitening Facial Wash 100ml,Indomaret,Needs,Beauty Care,60000,70000
136,Scarlett Whitening Glowtening Serum 15ml,Scarlett Official,Wants,Beauty Care,60000,75000
137,Scarlett Whitening 7x Ceramide Moisturizer,Scarlett Official,Wants,Beauty Care,65000,75000
138,Scarlett Whitening Sunscreen Sun Bright Daily SPF 50,Scarlett Official,Needs,Beauty Care,60000,70000
139,Scarlett Whitening Peeling So Good 100ml,Scarlett Official,Wants,Beauty Care,60000,70000
140,The Originote Hyalucera Moisturizer Gel 50ml,Shopee - Originote,Needs,Beauty Care,42000,50000
141,The Originote Ceramella Sunscreen SPF 50 50g,Tokopedia - Originote,Needs,Beauty Care,42000,50000
142,The Originote Cicamide Facial Cleanser 70g,Shopee - Originote,Needs,Beauty Care,35000,45000
143,The Originote Ceraluronic Essence Toner 80ml,Shopee - Originote,Needs,Beauty Care,35000,45000
144,The Originote Gluta-Bright B3 Serum 20ml,Shopee - Originote,Wants,Beauty Care,38000,48000
145,The Originote Peeling Solution 20ml,The Originote Official,Wants,Beauty Care,38000,48000
146,The Originote Eye Serum 15g,The Originote Official,Wants,Beauty Care,38000,48000
147,The Originote Lash & Brow Serum,The Originote Official,Wants,Beauty Care,38000,48000
148,The Originote Lip Oil Serum,The Originote Official,Wants,Beauty Care,35000,45000
149,The Originote Acne B5 Serum 20ml,The Originote Official,Wants,Beauty Care,38000,48000
150,Glad2Glow Blueberry 5% Ceramide Moisturizer 30g,Shopee - Glad2Glow,Needs,Beauty Care,39000,49000
151,Glad2Glow Centella Allantoin Soothing Gel Moisturizer 55g,Tokopedia - Glad2Glow,Needs,Beauty Care,39000,49000
152,Glad2Glow Pomegranate 5% Niacinamide Brightening Moisturizer,Glad2Glow Official,Wants,Beauty Care,39000,49000
153,Glad2Glow Ultra Light Sunscreen Gel SPF 50,Glad2Glow Official,Needs,Beauty Care,35000,45000
154,Glad2Glow Milk Amino Acid Gentle Cleanser 80ml,Glad2Glow Official,Needs,Beauty Care,35000,45000
155,Glad2Glow Yuja Symwhite 377 Dark Spot Serum,Glad2Glow Official,Wants,Beauty Care,45000,55000
156,Glad2Glow Real Mugwort Salicylic Acid Acne Clay Mask,Glad2Glow Official,Wants,Beauty Care,39000,49000
157,Glad2Glow 2% Salicylic Acid Overnight Acne Spot Cream,Glad2Glow Official,Wants,Beauty Care,35000,45000
158,Glad2Glow Berry Peptide Brightening Eye Cream,Glad2Glow Official,Wants,Beauty Care,45000,55000
159,Glad2Glow AHA BHA PHA Intensive Peeling Solution,Glad2Glow Official,Wants,Beauty Care,45000,55000
160,Implora Urban Lip Cream Matte 01 Dusky Nude,Indomaret,Wants,Beauty Care,18000,25000
161,Implora Intense Matte Lipstick 05,Alfamart,Wants,Beauty Care,18000,22000
162,Implora Eyebrow Pencil Black,Toko Kelontong,Wants,Beauty Care,6000,9000
163,Implora Cheek & Lip Tint 01 Vampire Blood,Shopee - Implora,Wants,Beauty Care,18000,22000
164,Implora Luminous Brightening Serum 20ml,Implora Official,Wants,Beauty Care,25000,35000
165,Implora Acne Serum 20ml,Implora Official,Wants,Beauty Care,25000,35000
166,Implora Peeling Serum 20ml,Implora Official,Wants,Beauty Care,25000,35000
167,Implora Perfect Shield Sunscreen SPF 40,Implora Official,Needs,Beauty Care,30000,38000
168,Implora Jelly Tint 03 Candy Apple,Implora Official,Wants,Beauty Care,18000,22000
169,Implora Day To Day Two Way Cake,Implora Official,Wants,Beauty Care,55000,65000
170,Hanasui Mattedorable Lip Cream Boba Edition,Shopee - Hanasui,Wants,Beauty Care,25000,32000
171,Hanasui Serum Vitamin C + Collagen 20ml,Indomaret,Wants,Beauty Care,22000,28000
172,Hanasui Power Bright Expert Serum 20ml,Hanasui Official,Wants,Beauty Care,25000,30000
173,Hanasui Collagen Water Sunscreen SPF 50 30ml,Alfamart,Needs,Beauty Care,35000,42000
174,Hanasui Body Lotion Milky 240ml,Indomaret,Needs,Beauty Care,18000,24000
175,Hanasui Flawless Glow 10 Day Cream,Hanasui Official,Wants,Beauty Care,25000,30000
176,Hanasui Flawless Glow 10 Night Cream,Hanasui Official,Wants,Beauty Care,25000,30000
177,Hanasui Men Bright Active Serum 20ml,Hanasui Official,Wants,Beauty Care,22000,28000
178,Hanasui Tintdorable Lip Stain 01 Cherry,Hanasui Official,Wants,Beauty Care,18000,24000
179,Hanasui Eyebrow Pencil Black,Hanasui Official,Wants,Beauty Care,7000,10000
180,Viva Air Mawar 100ml,Indomaret,Needs,Beauty Care,6000,8000
181,Viva Milk Cleanser Bengkuang 100ml,Alfamart,Needs,Beauty Care,7000,9000
182,Viva Face Tonic Bengkuang 100ml,Indomaret,Needs,Beauty Care,7000,9000
183,Viva Face Tonic Lemon 100ml,Toko Kelontong,Needs,Beauty Care,7000,9000
184,Viva Milk Cleanser Spirulina 100ml,Guardian,Needs,Beauty Care,8000,10000
185,Viva Pensil Alis Hitam,Indomaret,Wants,Beauty Care,35000,40000
186,Viva Pensil Alis Coklat,Alfamart,Wants,Beauty Care,35000,40000
187,Viva Liquid Foundation Natural,Toko Kosmetik Pasar,Wants,Beauty Care,6000,8000
188,Viva Bedak Tabur Sachet No 4,Toko Kelontong,Wants,Beauty Care,1500,2500
189,Viva Queen Peeling Cream 22g,Watson,Wants,Beauty Care,8000,11000
190,Viva White Soothing Aloe Gel 80g,Indomaret,Needs,Beauty Care,18000,23000
191,Viva Special Day Cream 22g,Toko Kosmetik,Wants,Beauty Care,7000,9000
192,Viva Collagen Night Cream 22g,Toko Kosmetik,Wants,Beauty Care,12000,15000
193,Viva Red-A Matte Lipstick 801,Shopee - Viva,Wants,Beauty Care,15000,20000
194,Viva White Waterdrop Sleeping Mask 80g,Viva Official,Wants,Beauty Care,25000,30000
195,Sariayu Alas Bedak Kuning Langsat,Toko Kosmetik,Wants,Beauty Care,12000,16000
196,Sariayu Bedak Tabur Energizing Aromatic,Toko Kosmetik,Wants,Beauty Care,18000,24000
197,Sariayu Masker Beras Putih Sachet,Indomaret,Wants,Beauty Care,10000,14000
198,Sariayu Two Way Cake 01,Watson,Wants,Beauty Care,45000,55000
199,Sariayu Minyak Zaitun 25ml,Alfamart,Needs,Beauty Care,8000,11000
200,Sariayu Krem Masker Jerawat 100g,Sariayu Official,Wants,Beauty Care,30000,38000
201,Sariayu Putih Langsat Facial Foam 75g,Indomaret,Needs,Beauty Care,20000,25000
202,Sariayu Intensive Acne Care,Sariayu Official,Wants,Beauty Care,25000,32000
203,Sariayu Color Trend Lipstick,Sariayu Official,Wants,Beauty Care,40000,50000
204,Sariayu Martha Tilaar Pembersih Kenanga,Toko Kosmetik,Needs,Beauty Care,15000,20000
205,Mustika Ratu Minyak Zaitun 75ml,Indomaret,Needs,Beauty Care,22000,27000
206,Mustika Ratu Air Sari Mawar Putih 75ml,Alfamart,Needs,Beauty Care,12000,16000
207,Mustika Ratu Masker Bengkoang Bubuk,Indomaret,Wants,Beauty Care,9000,13000
208,Mustika Ratu Peeling Mundisari Sachet,Toko Kelontong,Wants,Beauty Care,8000,12000
209,Mustika Ratu Hair Tonic Penyubur Rambut 175ml,Guardian,Needs,Beauty Care,25000,32000
210,Mustika Ratu Shampoo Bayam 175ml,Watson,Needs,Beauty Care,20000,26000
211,Mustika Ratu Body Butter Olive 200g,Mustika Ratu Official,Needs,Beauty Care,45000,55000
212,Mustika Ratu Hand & Body Lotion Zaitun 150ml,Indomaret,Needs,Beauty Care,18000,24000
213,Mustika Ratu Anti Acne Facial Wash,Mustika Ratu Official,Needs,Beauty Care,28000,35000
214,Mustika Ratu Krem Masker Bengkoang Tube,Mustika Ratu Official,Wants,Beauty Care,25000,32000
215,Garnier Micellar Water Pink 125ml,Indomaret,Needs,Beauty Care,28000,35000
216,Garnier Micellar Water Oil Infused 125ml,Alfamart,Wants,Beauty Care,38000,45000
217,Garnier Light Complete Vitamin C Serum 30ml,Guardian,Wants,Beauty Care,105000,125000
218,Garnier Bright Complete Facial Foam 100ml,Indomaret,Needs,Beauty Care,25000,32000
219,Garnier Sakura White Day Cream 50ml,Watson,Needs,Beauty Care,55000,65000
220,Garnier Men Acno Fight Wasabi Foam 100ml,Indomaret,Needs,Beauty Care,28000,35000
221,Garnier Men Turbo Light Oil Control Foam 100ml,Alfamart,Needs,Beauty Care,28000,35000
222,Garnier Serum Mask Hydra Bomb Pomegranate,Indomaret,Wants,Beauty Care,18000,24000
223,Garnier Serum Mask Sakura White,Alfamart,Wants,Beauty Care,18000,24000
224,Garnier Bright Complete Vitamin C Ampoule Serum,Guardian,Wants,Beauty Care,15000,20000
225,Pond's Bright Beauty Facial Foam 100g,Indomaret,Needs,Beauty Care,25000,30000
226,Pond's Acne Solution Facial Foam 100g,Alfamart,Needs,Beauty Care,28000,35000
227,Pond's Age Miracle Day Cream 10g,Indomaret,Wants,Beauty Care,35000,42000
228,Pond's White Beauty Serum Burst Cream 20g,Alfamart,Wants,Beauty Care,25000,30000
229,Pond's Instabright Tone Up Milk Cream 20g,Guardian,Wants,Beauty Care,25000,30000
230,Pond's Micellar Water Rose 100ml,Indomaret,Needs,Beauty Care,18000,24000
231,Pond's Juice Collection Cleanser Watermelon 90g,Watson,Needs,Beauty Care,28000,35000
232,Pond's Glitter Glow Peel Off Mask,Shopee - Unilever,Wants,Beauty Care,45000,55000
233,Pond's Men Energy Charge Face Wash 100g,Indomaret,Needs,Beauty Care,30000,36000
234,Pond's Men Lightning Oil Clear 100g,Alfamart,Needs,Beauty Care,30000,36000
235,Citra Pearly White UV Hand & Body Lotion 230ml,Indomaret,Needs,Beauty Care,22000,27000
236,Citra Natural Glowing White UV 230ml,Alfamart,Needs,Beauty Care,22000,27000
237,Citra Fresh Glow Multifunction Gel Aloe Bright 180ml,Guardian,Needs,Beauty Care,25000,32000
238,Citra Fresh Glow Multifunction Gel Tomato Bright 180ml,Watson,Needs,Beauty Care,25000,32000
239,Citra Hazeline Pearly White UV Face Cream 40g,Toko Kosmetik,Needs,Beauty Care,28000,35000
240,Citra Green Tea Anti Acne Face Moisturizer 40g,Indomaret,Needs,Beauty Care,28000,35000
241,Citra Sakura Fair UV Body Lotion 230ml,Alfamart,Needs,Beauty Care,22000,27000
242,Citra Night Whitening Body Lotion 230ml,Guardian,Needs,Beauty Care,25000,32000
243,Citra Soap Bar Pearly White 70g,Toko Kelontong,Needs,Beauty Care,4000,6000
244,Citra Golden Glow Mangir Jawa Body Lotion 230ml,Indomaret,Needs,Beauty Care,22000,27000
245,Glow & Lovely Multivitamin Facial Foam 100g,Indomaret,Needs,Beauty Care,22000,28000
246,Glow & Lovely Multivitamin Cream 25g,Alfamart,Needs,Beauty Care,18000,24000
247,Glow & Lovely BB Cream 15g,Indomaret,Wants,Beauty Care,25000,30000
248,Glow & Lovely 2-in-1 Powder Cream 20g,Alfamart,Wants,Beauty Care,20000,26000
249,Glow & Lovely Masker Serum Vitamin C,Indomaret,Wants,Beauty Care,12000,16000
250,Kelly Pearl Cream 15g,Toko Kosmetik Pasar,Needs,Beauty Care,8000,12000
251,Kelly Lemon Soap 75g,Toko Kosmetik Pasar,Needs,Beauty Care,10000,15000
252,Bedak Marcks Bedak Tabur Creme 40g,Apotek K-24,Wants,Beauty Care,15000,20000
253,Bedak Marcks Bedak Tabur Rose 40g,Indomaret,Wants,Beauty Care,15000,20000
254,Fanbo Pensil Alis Coklat,Toko Kosmetik,Wants,Beauty Care,25000,35000
255,Purbasari Lipstick Color Matte 81 Diamond,Indomaret,Wants,Beauty Care,32000,38000
256,Purbasari Lulur Mandi Bengkoang 235g,Alfamart,Wants,Beauty Care,18000,24000
257,Purbasari Sabun Sirih Manjakani 60ml,Indomaret,Needs,Beauty Care,12000,16000
258,Marina UV White Hand & Body Lotion Healthy & Glow 185ml,Indomaret,Needs,Beauty Care,10000,14000
259,Aqua Air Mineral PET 220ml (Gelas/Cup),Grosir Sembako,Needs,Beverages,500,1000
260,Aqua Air Mineral PET 330ml (Mini/Click),Alfamart/Indomaret,Needs,Beverages,1800,2500
261,Aqua Air Mineral PET 450ml,Modern Retail,Needs,Beverages,2500,3200
262,Aqua Air Mineral PET 600ml (Tanggung),Alfamart/Indomaret,Needs,Beverages,3000,4500
263,Aqua Air Mineral PET 750ml (Click Cap),Modern Retail,Needs,Beverages,5500,6500
264,Aqua Air Mineral PET 1500ml (1.5 Liter),Alfamart/Indomaret,Needs,Beverages,5900,7500
265,Aqua Air Mineral Galon 19 Liter (Isi Ulang),Agen Aqua,Needs,Beverages,19000,22000
266,Aqua Life Air Mineral PET 1100ml (Recycled),Premium Store,Needs,Beverages,6500,8000
267,Le Minerale Air Mineral PET 330ml,Alfamart/Indomaret,Needs,Beverages,1700,2300
268,Le Minerale Air Mineral PET 600ml,Alfamart/Indomaret,Needs,Beverages,2800,3800
269,Le Minerale Air Mineral PET 1500ml (1.5 Liter),Alfamart/Indomaret,Needs,Beverages,5500,6900
270,Le Minerale Galon Sekali Pakai 15 Liter,Agen Le Minerale,Needs,Beverages,18000,22000
271,Cleo Air Murni Oxygen PET 220ml (Cup),Modern Retail,Needs,Beverages,500,900
272,Cleo Air Murni Oxygen PET 330ml (Smart),Modern Retail,Needs,Beverages,1900,2500
273,Cleo Air Murni Oxygen PET 550ml,Modern Retail,Needs,Beverages,2900,3900
274,Cleo Air Murni Oxygen PET 1500ml,Modern Retail,Needs,Beverages,5500,7000
275,Cleo Air Murni Galon Eco Shape 6 Liter,Modern Retail,Needs,Beverages,12000,15000
276,Cleo Air Murni Galon 19 Liter,Agen Cleo,Needs,Beverages,18000,21000
277,VIT Air Mineral PET 330ml,Modern Retail,Needs,Beverages,1500,2000
278,VIT Air Mineral PET 550ml,Alfamart/Indomaret,Needs,Beverages,2500,3500
279,VIT Air Mineral PET 1500ml,Modern Retail,Needs,Beverages,5000,6500
280,VIT Air Mineral Gelas 220ml (Karton isi 48),Grosir Sembako,Needs,Beverages,22000,28000
281,Prima Air Mineral PET 600ml,Alfamart/Indomaret,Needs,Beverages,2000,3000
282,Crystalin Air Mineral PET 330ml,Modern Retail,Needs,Beverages,1500,2000
283,Crystalin Air Mineral PET 600ml,Alfamart/Indomaret,Needs,Beverages,2500,3500
284,Crystalin Air Mineral PET 1500ml,Modern Retail,Needs,Beverages,5000,6000
285,Nestlé Pure Life Air Mineral 600ml,Modern Retail,Needs,Beverages,3200,4500
286,Nestlé Pure Life Air Mineral 1500ml,Modern Retail,Needs,Beverages,6000,7500
287,Evian Natural Mineral Water 330ml,Premium Supermarket,Wants,Beverages,18000,25000
288,Evian Natural Mineral Water 500ml,Premium Supermarket,Wants,Beverages,22000,30000
